Entity,Code,Year,status
Laos,LAO,2021,On track to 40% vaccinated
Latvia,LVA,2021,Already above 40% vaccinated
Lebanon,LBN,2021,Not on track to 40% vaccinated
Lesotho,LSO,2021,On track to 40% vaccinated
Libya,LBY,2021,Not on track to 40% vaccinated
Liechtenstein,LIE,2021,Already above 40% vaccinated
Lithuania,LTU,2021,Already above 40% vaccinated
Low income,,2021,Not on track to 40% vaccinated
Lower middle income,,2021,On track to 40% vaccinated
Luxembourg,LUX,2021,Already above 40% vaccinated
Macao,MAC,2021,Already above 40% vaccinated
Madagascar,MDG,2021,Not on track to 40% vaccinated
Malawi,MWI,2021,Not on track to 40% vaccinated
Malaysia,MYS,2021,Already above 40% vaccinated
Maldives,MDV,2021,Already above 40% vaccinated
Mali,MLI,2021,Not on track to 40% vaccinated
Malta,MLT,2021,Already above 40% vaccinated
Mauritania,MRT,2021,Not on track to 40% vaccinated
Mauritius,MUS,2021,Already above 40% vaccinated
Mexico,MEX,2021,Already above 40% vaccinated
Monaco,MCO,2021,Already above 40% vaccinated
Mongolia,MNG,2021,Already above 40% vaccinated
Montenegro,MNE,2021,On track to 40% vaccinated
Montserrat,MSR,2021,Not on track to 40% vaccinated
Morocco,MAR,2021,Already above 40% vaccinated
Mozambique,MOZ,2021,Not on track to 40% vaccinated
Myanmar,MMR,2021,Not on track to 40% vaccinated
Namibia,NAM,2021,Not on track to 40% vaccinated
Nauru,NRU,2021,Already above 40% vaccinated
Nepal,NPL,2021,Not on track to 40% vaccinated
Netherlands,NLD,2021,Already above 40% vaccinated
New Caledonia,NCL,2021,Already above 40% vaccinated
New Zealand,NZL,2021,Already above 40% vaccinated
Nicaragua,NIC,2021,Not on track to 40% vaccinated
Niger,NER,2021,Not on track to 40% vaccinated
Nigeria,NGA,2021,Not on track to 40% vaccinated
Niue,NIU,2021,Already above 40% vaccinated
North America,,2021,Already above 40% vaccinated
North Macedonia,MKD,2021,On track to 40% vaccinated
Northern Cyprus,OWID_CYN,2021,Already above 40% vaccinated
Northern Ireland,,2021,Already above 40% vaccinated
Norway,NOR,2021,Already above 40% vaccinated
Oceania,,2021,Already above 40% vaccinated
Oman,OMN,2021,Already above 40% vaccinated
Pakistan,PAK,2021,On track to 40% vaccinated
Palestine,PSE,2021,On track to 40% vaccinated
Panama,PAN,2021,Already above 40% vaccinated
Papua New Guinea,PNG,2021,Not on track to 40% vaccinated
Paraguay,PRY,2021,On track to 40% vaccinated
Peru,PER,2021,Already above 40% vaccinated
Philippines,PHL,2021,On track to 40% vaccinated
Pitcairn,PCN,2021,Already above 40% vaccinated
Poland,POL,2021,Already above 40% vaccinated
Portugal,PRT,2021,Already above 40% vaccinated
Qatar,QAT,2021,Already above 40% vaccinated
Romania,ROU,2021,Not on track to 40% vaccinated
Russia,RUS,2021,On track to 40% vaccinated
Rwanda,RWA,2021,Not on track to 40% vaccinated
Saint Helena,SHN,2021,Already above 40% vaccinated
Saint Kitts and Nevis,KNA,2021,Already above 40% vaccinated
Saint Lucia,LCA,2021,On track to 40% vaccinated
Saint Vincent and the Grenadines,VCT,2021,Not on track to 40% vaccinated
Samoa,WSM,2021,Already above 40% vaccinated
San Marino,SMR,2021,Already above 40% vaccinated
Sao Tome and Principe,STP,2021,On track to 40% vaccinated
Saudi Arabia,SAU,2021,Already above 40% vaccinated
Scotland,,2021,Already above 40% vaccinated
Senegal,SEN,2021,Not on track to 40% vaccinated
Serbia,SRB,2021,Already above 40% vaccinated
Seychelles,SYC,2021,Already above 40% vaccinated
Sierra Leone,SLE,2021,Not on track to 40% vaccinated
Singapore,SGP,2021,Already above 40% vaccinated
Sint Maarten (Dutch part),SXM,2021,Already above 40% vaccinated
Slovakia,SVK,2021,Already above 40% vaccinated
Slovenia,SVN,2021,Already above 40% vaccinated
Solomon Islands,SLB,2021,Not on track to 40% vaccinated
Somalia,SOM,2021,Not on track to 40% vaccinated
South Africa,ZAF,2021,On track to 40% vaccinated
South America,,2021,Already above 40% vaccinated
South Korea,KOR,2021,Already above 40% vaccinated
South Sudan,SSD,2021,Not on track to 40% vaccinated
Spain,ESP,2021,Already above 40% vaccinated
Sri Lanka,LKA,2021,Already above 40% vaccinated
Sudan,SDN,2021,Not on track to 40% vaccinated
Suriname,SUR,2021,On track to 40% vaccinated
Sweden,SWE,2021,Already above 40% vaccinated
Switzerland,CHE,2021,Already above 40% vaccinated
Syria,SYR,2021,Not on track to 40% vaccinated
Taiwan,TWN,2021,Already above 40% vaccinated
Tajikistan,TJK,2021,Not on track to 40% vaccinated
Tanzania,TZA,2021,Not on track to 40% vaccinated
Thailand,THA,2021,Already above 40% vaccinated
Timor,TLS,2021,On track to 40% vaccinated
Togo,TGO,2021,Not on track to 40% vaccinated
